Geography,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,492.3B,563.4B,504.0B,432.9B,389.7B,277.8B,235.5B,198.6B,247.0B,250.1B,252.7B,334.5B,354.3B,342.1B,400.3B,413.7B,659.1B,578.1B,723.0B,698.8B,868.1B,944.3B,"1,094.2B","1,067.2B","1,064.0B","1,354.8B","1,399.9B","1,415.0B","1,285.0B","1,368.0B","1,549.0B","1,517.1B","1,639.6B","1,652.6B","1,672.6B","1,677.7B","1,783.5B","1,834.2B","1,898.3B","2,074.5B","2,338.7B","2,503.3B","2,728.1B","2,967.6B","3,128.1B","3,319.5B","3,731.3B","4,370.3B","5,229.3B","6,150.0B","6,878.3B","7,520.8B","8,581.6B","9,849.2B","11,328.0B","13,498.3A","14,508.2A","14,720.2A","15,187.3A","16,706.7A","17,067.9A","17,652.7A","19,297.3A","20,472.1A","21,773.0A","22,352.7A","22,537.9A","23,319.2A","23,588.4A","23,880.6A","24,614.0A","26,035.7A","27,796.2A","28,280.0A","30,255.3A","33,055.7A","33,222.0A","33,979.0A","36,572.2A","39,733.1A","43,547.3A","45,517.2A","47,903.4A","45,644.4A","46,911.3A","49,677.7A","52,669.6A","54,653.3A","56,510.3A","57,909.1A","54,260.8A"
British Columbia,524.2B,538.0B,573.7B,599.1B,546.3B,458.5B,378.3B,352.4B,378.5B,407.2B,433.8B,477.1B,480.0B,484.8B,534.9B,620.2B,739.4B,835.8B,837.8B,872.2B,921.8B,"1,029.7B","1,157.9B","1,191.5B","1,281.5B","1,410.1B","1,519.9B","1,554.2B","1,553.2B","1,639.4B","1,740.3B","1,803.0B","1,782.5B","1,850.3B","1,878.4B","1,880.5B","1,959.8B","2,051.3B","2,183.9B","2,365.3B","2,551.0B","2,729.4B","2,897.0B","3,192.5B","3,361.4B","3,573.3B","4,035.6B","4,722.1B","5,518.1B","6,312.9B","7,136.5B","7,873.3B","8,700.2B","9,694.3B","11,061.0B","12,786.9A","13,635.3A","13,853.1A","14,368.6A","15,290.1A","16,037.0A","17,245.7A","18,630.3A","20,285.4A","21,654.8A","22,253.0A","22,775.6A","23,166.6A","23,596.1A","24,077.5A","24,178.5A","24,643.5A","25,158.2A","25,948.5A","27,020.7A","27,876.7A","28,733.0A","29,405.6A","30,830.2A","32,344.8A","34,915.6A","36,873.3A","37,675.0A","37,123.8A","37,949.1A","39,482.4A","40,619.9A","42,152.4A","43,292.7A","45,411.2A","46,905.0A"
"Yukon, Northwest territories, Nunavut 4",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,181.1B","1,443.6B","1,574.1B","1,659.0B","1,695.9B","2,150.8B","2,149.7B","2,019.3B","2,023.2B","2,002.1B","1,867.6B","1,829.6B","1,865.1B","2,028.8B","2,132.9B","2,311.9B","2,606.6B","2,754.6B","3,253.2B","3,712.8B","3,569.1B","3,967.3B","4,517.4B","5,374.1B","6,191.4B","6,889.7B","8,225.8B","8,988.9B","10,091.6B","11,221.5B","13,269.0A","14,081.3A","14,713.0A","15,974.0A","16,670.1A","17,437.8A","18,621.1A","20,470.0A","21,802.8A","22,993.5A","23,788.6A","24,376.8A","24,638.3A","25,245.9A","25,688.7A","25,942.1A","26,191.8A","27,287.3A","28,969.0A","30,861.0A","33,842.4A","35,100.6A","35,943.1A","37,116.7A","38,716.8A","41,078.1A","45,170.8A","47,244.5A","46,245.5A","48,468.4A","50,486.7A","51,583.2A","52,820.7A","54,089.5A","56,065.9A","57,007.0A"
Yukon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"15,075.4A","14,229.0A","15,170.7A","16,303.7A","16,779.5A","18,338.1A","19,372.9A","20,860.7A","22,232.9A","23,571.9A","23,899.4A","25,229.4A","24,392.7A","24,895.6A","26,410.9A","27,208.7A","26,763.5A","27,448.7A","29,072.6A","30,889.6A","33,922.5A","35,138.6A","35,875.9A","37,610.5A","39,499.7A","41,647.3A","46,472.3A","48,507.0A","48,084.9A","50,901.8A","53,415.1A","54,856.1A","55,430.1A","56,414.2A","58,355.0A","59,365.6A"
Northwest territories including Nunavut 4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"12,359.2A","14,007.4A","14,499.6A","15,823.3A","16,620.9A","17,035.4A","18,269.7A","20,283.5A","21,598.6A","22,719.2A","23,736.0A","23,965.1A","24,755.8A","25,405.9A","25,357.6A","25,352.3A","25,922.5A","27,212.5A","28,921.7A","30,848.2A","33,807.4A","35,084.2A","35,972.0A","36,904.4A","38,378.1A","40,829.8A","44,604.0A","46,689.3A","45,426.3A","47,369.9A","49,152.5A","50,076.0A","51,624.6A","53,018.7A","55,009.8A","55,908.7A"
Northwest territories,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"33,146.3A","34,535.6A","37,850.4A","39,694.0A","40,333.4A","41,334.7A","43,340.0A","46,111.4A","52,934.9A","54,233.0A","52,886.5A","54,646.7A","56,596.4A","57,439.1A","60,128.4A","61,891.6A","64,594.9A","65,064.9A"
Nunavut,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"22,520.5A","25,420.0A","27,937.7A","28,415.8A","29,636.5A","30,478.6A","31,279.9A","33,428.5A","33,094.4A","36,435.5A","35,552.1A","37,927.6A","39,683.0A","40,827.5A","41,113.7A","42,227.0A","43,433.1A","44,920.2A"
All provinces 5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador 5",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
